Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Clinical endocrinology.,Clin Endocrinol (Oxf),0300-0664,1365-2265,England,Endocrinology,1972,0346653
Clinical obesity.,Clin Obes,1758-8103,1758-8111,England,Metabolism,2011,101560587
Current diabetes reports.,Curr Diab Rep,1534-4827,1539-0829,United States,Endocrinology,2001,101093791
Current diabetes reviews.,Curr Diabetes Rev,1573-3998,1875-6417,United Arab Emirates,Endocrinology,2005,101253260
Current drug metabolism.,Curr Drug Metab,1389-2002,1875-5453,Netherlands,Chemistry; Metabolism,2000,100960533
Current obesity reports.,Curr Obes Rep,,2162-4968,United States,Metabolism,2012,101578283
Current opinion in clinical nutrition and metabolic care.,Curr Opin Clin Nutr Metab Care,1363-1950,1473-6519,England,Metabolism; Nutritional Sciences,1998,9804399
"Current opinion in endocrinology, diabetes, and obesity.",Curr Opin Endocrinol Diabetes Obes,1752-296X,1752-2978,England,Endocrinology; Metabolism,2007,101308636
Current osteoporosis reports.,Curr Osteoporos Rep,1544-1873,1544-2241,United States,Metabolism; Orthopedics,2003,101176492
Diabetes & metabolic syndrome.,Diabetes Metab Syndr,1871-4021,1878-0334,Netherlands,Endocrinology; Metabolism,2007,101462250
Diabetes & metabolism.,Diabetes Metab,1262-3636,1878-1780,France,Endocrinology; Metabolism,1996,9607599
Diabetes & vascular disease research.,Diab Vasc Dis Res,1479-1641,1752-8984,England,Endocrinology; Vascular Diseases,2004,101234011
Diabetes care.,Diabetes Care,0149-5992,1935-5548,United States,Endocrinology,1978,7805975
Diabetes research and clinical practice.,Diabetes Res Clin Pract,0168-8227,1872-8227,Ireland,Endocrinology,1985,8508335
